Classe;Codigo do Ativo Subjacente;Bolsa de Negociacao;Indice Valorizacao;Mes Vencimento;Ano Vencimento;Tipo;Unidade de Negociacao;Moeda;Data Limite;Calculado;Commodity;Fator Conversao;Tipo Cotacao;Ticker;Tipo IF
ACOES;AAPL34;REUTERS;AAPL34;;;-;;REAL;;SIM;;;;;COE
ACOES;AAPL34;REUTERS;AAPL34;;;-;;REAL;;SIM;;;;;OPC
ACOES;AAPL34;REUTERS;AAPL34 Mínimo;;;-;;REAL;;SIM;;;;;OPC
ACOES;AAPL34;REUTERS;AAPL34 Máximo;;;-;;REAL;;SIM;;;;;OPC
ACOES;AAPL34;REUTERS;AAPL34 Mínimo;;;-;;REAL;;SIM;;;;;COE
ACOES;AAPL34;REUTERS;AAPL34 Máximo;;;-;;REAL;;SIM;;;;;COE
ACOES;ABCB4;REUTERS;ABCB4 Máximo;;;-;;REAL;;SIM;;;;;COE
ACOES;ABCB4;REUTERS;ABCB4 Máximo;;;-;;REAL;;SIM;;;;;OPC
ACOES;ABCB4;REUTERS;ABCB4;;;-;;REAL;;SIM;;;;;COE
ACOES;ABCB4;REUTERS;ABCB4;;;-;;REAL;;SIM;;;;;OPC
ACOES;ABCB4;REUTERS;ABCB4 Mínimo;;;-;;REAL;;SIM;;;;;COE
ACOES;ABCB4;REUTERS;ABCB4 Mínimo;;;-;;REAL;;SIM;;;;;OPC
ACOES;ABEV3;REUTERS;ABEV3;;;OUTROS;;REAL;;SIM;;;;;COE
ACOES;ABEV3;REUTERS;ABEV3;;;OUTROS;;REAL;;SIM;;;;;OPC
ACOES;ABEV3;REUTERS;ABEV3 Máximo;;;OUTROS;;REAL;;SIM;;;;;COE
ACOES;ABEV3;REUTERS;ABEV3 Máximo;;;OUTROS;;REAL;;SIM;;;;;OPC
ACOES;ABEV3;REUTERS;ABEV3 Mínimo;;;OUTROS;;REAL;;SIM;;;;;COE
ACOES;ABEV3;REUTERS;ABEV3 Mínimo;;;OUTROS;;REAL;;SIM;;;;;OPC
ACOES;ADBE34;REUTERS;ADBE34;;;-;;REAL;;SIM;;;;;OPC
ACOES;ADBE34;REUTERS;ADBE34 Mínimo;;;-;;REAL;;SIM;;;;;OPC
ACOES;ADBE34;REUTERS;ADBE34 Máximo;;;-;;REAL;;SIM;;;;;OPC
