20260831
C0000001;% Capital Protegido;NUMERICO;3;2;S;
C0000002;% Ganho;NUMERICO;3;2;S;
C0000003;Data de Verificação Final;DOMINIO;3;0;S;D
C0000003;Data de Verificação Final;DOMINIO;3;0;S;D-1
C0000003;Data de Verificação Final;DOMINIO;3;0;S;D-2
C0000003;Data de Verificação Final;DOMINIO;3;0;S;D-3
C0000003;Data de Verificação Final;DOMINIO;3;0;S;D-4
C0000003;Data de Verificação Final;DOMINIO;3;0;S;D-5
C0000004;Data de Verificação Inicial;DOMINIO;3;0;S;D
C0000004;Data de Verificação Inicial;DOMINIO;3;0;S;D-1
C0000004;Data de Verificação Inicial;DOMINIO;3;0;S;D-2
C0000004;Data de Verificação Inicial;DOMINIO;3;0;S;D-3
C0000004;Data de Verificação Inicial;DOMINIO;3;0;S;D-4
C0000004;Data de Verificação Inicial;DOMINIO;3;0;S;D-5
C0000005;Data Exercício Opção de Compra;DOMINIO;3;0;S;D
C0000005;Data Exercício Opção de Compra;DOMINIO;3;0;S;D-1
C0000005;Data Exercício Opção de Compra;DOMINIO;3;0;S;D-2
C0000005;Data Exercício Opção de Compra;DOMINIO;3;0;S;D-3
C0000005;Data Exercício Opção de Compra;DOMINIO;3;0;S;D-4
C0000005;Data Exercício Opção de Compra;DOMINIO;3;0;S;D-5
C0000006;Data Exercício Opção de Venda;DOMINIO;3;0;S;D
C0000006;Data Exercício Opção de Venda;DOMINIO;3;0;S;D-1
C0000006;Data Exercício Opção de Venda;DOMINIO;3;0;S;D-2
C0000006;Data Exercício Opção de Venda;DOMINIO;3;0;S;D-3
C0000006;Data Exercício Opção de Venda;DOMINIO;3;0;S;D-4
C0000006;Data Exercício Opção de Venda;DOMINIO;3;0;S;D-5
C0000007;Data Indicador;DOMINIO;3;0;S;D
C0000007;Data Indicador;DOMINIO;3;0;S;D-1
C0000007;Data Indicador;DOMINIO;3;0;S;D-2
C0000007;Data Indicador;DOMINIO;3;0;S;D-3
C0000007;Data Indicador;DOMINIO;3;0;S;D-4
C0000007;Data Indicador;DOMINIO;3;0;S;D-5
C0000008;Data Indicador_1;DOMINIO;3;0;S;D
C0000008;Data Indicador_1;DOMINIO;3;0;S;D-1
C0000008;Data Indicador_1;DOMINIO;3;0;S;D-2
C0000008;Data Indicador_1;DOMINIO;3;0;S;D-3
C0000008;Data Indicador_1;DOMINIO;3;0;S;D-4
C0000008;Data Indicador_1;DOMINIO;3;0;S;D-5
C0000009;Data Indicador_2;DOMINIO;3;0;S;D
C0000009;Data Indicador_2;DOMINIO;3;0;S;D-1
C0000009;Data Indicador_2;DOMINIO;3;0;S;D-2
C0000009;Data Indicador_2;DOMINIO;3;0;S;D-3
C0000009;Data Indicador_2;DOMINIO;3;0;S;D-4
C0000009;Data Indicador_2;DOMINIO;3;0;S;D-5
C0000010;Data Indicador_3;DOMINIO;3;0;S;D
C0000010;Data Indicador_3;DOMINIO;3;0;S;D-1
C0000010;Data Indicador_3;DOMINIO;3;0;S;D-2
C0000010;Data Indicador_3;DOMINIO;3;0;S;D-3
C0000010;Data Indicador_3;DOMINIO;3;0;S;D-4
