Tipo do Dominio;Nome do Dominio;Descricao do Dominio;Codigo do Dominio;
CONDIÇÃO ESPECÍFICA DE RESGATE;Detalhadas nas documentações de emissão;;14987;
CONDIÇÃO ESPECÍFICA DE RESGATE;Verificação de níveis de preço;;15519;
FUNCIONALIDADE;WATERMARK PERFORMANCE;WATERMARK PERFORMANCE;1;
FUNCIONALIDADE;PERFORMANCE ACUMULADA;PERFORMANCE ACUMULADA;2;
REMUNERADOR NO FLUXO;SEM REMUNERACAO;SEM REMUNERACAO;0;
REMUNERADOR NO FLUXO;PRE;PRE;1;
REMUNERADOR NO FLUXO;DI;DI;2;
REMUNERADOR NO FLUXO;IPCA VCP;IPCA VCP;3;
REMUNERADOR NO FLUXO;USD VCP;USD VCP;5;
REMUNERADOR NO FLUXO;NO PERIODO;NO PERIODO;8;
REMUNERADOR NO FLUXO;NO PERÍODO + FIGURA;FLUXO CLIQUET VCP;12;
REMUNERADOR NO FLUXO;FIGURA 1066;Figura 1066;32;
REMUNERADOR NO FLUXO;FLUXO AUTOCALL VCP;FLUXO AUTOCALL VCP;52;
REMUNERADOR NO FLUXO;DI VCP;DI VCP;92;
REMUNERADOR NO FLUXO;FLUXO CONDICIONAL VCP;FLUXO CONDICIONAL VCP;112;
REMUNERADOR NO FLUXO;AMORTIZAÇÃO FUNDO - FIGURA 1082;Amortização Fundo - Figura 1082;213;
REMUNERADOR NO FLUXO;SOFR VCP;SOFR VCP;233;
REMUNERADOR NO FLUXO;EWZ VERIFICAÇÃO AUTOCALL;AUTOCALL;253;
REMUNERADOR NO VENCIMENTO;SEM REMUNERACAO;SEM REMUNERACAO;0;
REMUNERADOR NO VENCIMENTO;PRE;PRE;1;
REMUNERADOR NO VENCIMENTO;DI;DI;2;
REMUNERADOR NO VENCIMENTO;IPCA VCP;IPCA VCP;3;
REMUNERADOR NO VENCIMENTO;IBOVESPA VCP;IBOVESPA VCP;4;
REMUNERADOR NO VENCIMENTO;USD VCP;USD VCP;5;
REMUNERADOR NO VENCIMENTO;USD;USD;7;
REMUNERADOR NO VENCIMENTO;NO PERIODO;NO PERIODO;8;
REMUNERADOR NO VENCIMENTO;IBOVESPA;IBOVESPA;9;
REMUNERADOR NO VENCIMENTO;PRÉ LIN/360 + VC USD;Desabilitado para evitar problemas em produção associado ao ticket SDE-627;12;
REMUNERADOR NO VENCIMENTO;PRE LIN360 COM VC EM USD;Fator de Correção = USD Final/ USD Inicial. Fator de Juros= Pré Lin act/360;32;
REMUNERADOR NO VENCIMENTO;SOFR VCP;SOFR VCP;53;
TIPO CESTA;BEST OF;BEST OF;1;
TIPO CESTA;WORST OF;WORST OF;2;
TIPO CESTA;STANDARD;STANDARD;3;
TIPO CESTA;SPREAD;SPREAD;4;
TIPO CESTA;MEMORIZER;MEMORIZER;5;
TIPO CESTA;RAINBOW;RAINBOW;6;
TIPO CESTA;HIMALAYAN;HIMALAYAN;7;
TIPO CESTA;DUAL DIGITAL;DOMÍNIO DUAL DIGITAL;28;
