Tipo do Dominio;Nome do Dominio;Descricao do Dominio;Codigo do Dominio;Dominio Habilitado;Codigo Tipo IF;MID;
CODIGO DO ATIVO VCP NA FONTE DE INFORMACAO;COM2-HOK2;COM2-HOK2;121;S;OPC;;
CODIGO DO ATIVO VCP NA FONTE DE INFORMACAO;IWF - IWD;IWF - IWD;347;S;OPC;S;
CONDIÇÃO ESPECÍFICA DE RESGATE;Detalhadas nas documentações de emissão;;14987;S;COE;N;
CONDIÇÃO ESPECÍFICA DE RESGATE;Verificação de níveis de preço;;15519;S;COE;N;
FONTE DE INFORMACAO;SISBACEN;FONTE INFORMA¿¿O DO TERMO DE MOEDAS SISBACEN (NUNCA ALTERAR);0;S;TER;;
FONTE DE INFORMACAO;FEEDER;FONTE INFORMA¿¿O DO TERMO DE MOEDAS FEEDER (NUNCA ALTERAR);1;S;TER;;
FONTE DE INFORMACAO;SPOT;FONTE INFORMA¿¿O DO TERMO DE MOEDAS SPOT (NUNCA ALTERAR);2;S;TER;;
FONTE DE INFORMACAO;SISBACEN/FEEDER;FONTE INFORMA¿¿O DO TERMO DE MOEDAS SISBACEN/FEEDER (NUNCA ALTERAR);3;S;TER;;
FONTE DE INFORMACAO;BLOOMBERG;BLOOMBERG;161;S;TER;N;
FONTE DE INFORMACAO;BLOOMBERG/SISBACEN;BLOOMBERG/SISBACEN;162;S;TER;N;
FONTE DE INFORMACAO;BANCO CENTRAL;BANCO CENTRAL;314;S;TER;N;
FONTE DE INFORMACAO;B3 ACOES NACIONAIS;B3 ACOES NACIONAIS;332;N;TER;N;
FONTE DE INFORMACAO;BLOOMBERG COMMODITIES;BLOOMBERG COMMODITIES;340;S;TER;N;
FONTE DE INFORMACAO;REUTERS;REUTERS;358;S;TER;N;
FONTE DE INFORMACAO;CONSECANA;CONSECANA;359;S;TER;S;
FONTE DE INFORMACAO;B3;B3;373;S;TER;N;
FONTE DE INFORMACAO (ATIVO VCP);ICE+NYMEX;ICE+NYMEX;122;S;OPC;;
FONTE DE INFORMACAO (ATIVO VCP);Bloomberg;Bloomberg;224;S;OPC;;
FONTE DE INFORMACAO (ATIVO VCP);Reuters;Reuters;225;S;OPC;;
FONTE DE INFORMACAO (ATIVO VCP);Sisbacen;Sisbacen;226;S;OPC;;
FONTE DE INFORMACAO (ATIVO VCP);B3;B3;227;S;OPC;;
FONTE DE INFORMACAO (ATIVO VCP);BCE;BCE;228;S;OPC;;
FONTE DE INFORMACAO (ATIVO VCP);CVM;CVM;334;S;OPC;S;
FONTE DE INFORMACAO (MOEDA DO ATIVO VCP);Bloomberg;Bloomberg;294;S;OPC;;
