20260831
CODIGO FIGURA;NOME FIGURA;CALCULADA;COD CAMPO;NOME CAMPO;DESC CAMPO;TAMANHO;QTD DECIMAIS;OBRIGATORIO;DOMINIO
01;COE001001 - Call;S;C0000001;Strike 1(%);NUMERICO;4;8;S;
01;COE001001 - Call;S;C0000002;Participação cenário de alta (%);NUMERICO;6;4;S;
01;COE001001 - Call;S;C0000003;Período de captura do ativo subjacente para liquidação;DOMINIO;10;;S;Data única
01;COE001001 - Call;S;C0000003;Período de captura do ativo subjacente para liquidação;DOMINIO;10;;S;Janela de datas
01;COE001001 - Call;S;C0000003;Período de captura do ativo subjacente para liquidação;DOMINIO;10;;S;MAIS DATAS
01;COE001001 - Call;S;C0000004;Data para fixing;DATA;10;;N;
01;COE001001 - Call;S;C0000005;Data inicial para fixing;DATA;10;;N;
01;COE001001 - Call;S;C0000006;Data final para fixing;DATA;10;;N;
01;COE001001 - Call;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Ajuste
01;COE001001 - Call;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Fechamento
01;COE001001 - Call;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Media
01;COE001001 - Call;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Maximo
01;COE001001 - Call;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Mínimo
01;COE001001 - Call;S;C0000168;Tipo de Fixing para Vencimento;DOMINIO;20;;N;Máximo do período
01;COE001001 - Call;S;C0000168;Tipo de Fixing para Vencimento;DOMINIO;20;;N;Média do período
01;COE001001 - Call;S;C0000168;Tipo de Fixing para Vencimento;DOMINIO;20;;N;Mínimo do período
01;COE001001 - Call;S;C000070;Quantidade 1;NUMERICO;12;8;N;
02;COE001002 - Put;S;C0000001;Strike 1(%);NUMERICO;4;8;S;
02;COE001002 - Put;S;C0000003;Período de captura do ativo subjacente para liquidação;DOMINIO;10;;S;MAIS DATAS
02;COE001002 - Put;S;C0000003;Período de captura do ativo subjacente para liquidação;DOMINIO;10;;S;Janela de datas
02;COE001002 - Put;S;C0000003;Período de captura do ativo subjacente para liquidação;DOMINIO;10;;S;Data única
02;COE001002 - Put;S;C0000004;Data para fixing;DATA;10;;N;
02;COE001002 - Put;S;C0000005;Data inicial para fixing;DATA;10;;N;
02;COE001002 - Put;S;C0000006;Data final para fixing;DATA;10;;N;
02;COE001002 - Put;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Mínimo
02;COE001002 - Put;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Ajuste
02;COE001002 - Put;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Maximo
02;COE001002 - Put;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Media
02;COE001002 - Put;S;C0000007;Tipo de Cotação para Liquidação;DOMINIO;0;;S;Fechamento
02;COE001002 - Put;S;C0000018;Participação cenário de baixa (%);NUMERICO;6;4;S;
02;COE001002 - Put;S;C0000168;Tipo de Fixing para Vencimento;DOMINIO;20;;N;Média do período
02;COE001002 - Put;S;C0000168;Tipo de Fixing para Vencimento;DOMINIO;20;;N;Máximo do período
