BANCO  BOCOM BBM S/A                                                                                ;BOCOMBBMBM          ;71070.40-9;BBMBM;15.114.366/0001-69;
BANCO ABC BRASIL S.A.                                                                               ;ABCBRASILBM         ;72760.40-2;ABCBM;28.195.667/0001-06;
BANCO ALFA S/A                                                                                      ;ALFABC              ;02980.40-3;ALFAC;03.323.840/0001-83;
BANCO ANDBANK (BRASIL) S/A                                                                          ;ANDBANKBM           ;70180.40-0;LEMOM;48.795.256/0001-69;
BANCO ARBI S/A                                                                                      ;ARBIBC              ;72130.40-3;ARBIM;54.403.563/0001-50;
BANCO BANDEPE S/A                                                                                   ;BANDEPEBM           ;70240.40-5;BEPEM;10.866.788/0001-77;
BANCO BLUEBANK S.A. - EM LIQUIDACAO EXTRAJUDICIAL                                                   ;BLUEBANKBM          ;76300.40-4;ICAPM;58.497.702/0001-02;
BANCO BMG CONSIGNADO S.A                                                                            ;BCOBMGBM            ;72770.40-9;SCHAM;50.585.090/0001-06;
BANCO BMG S/A                                                                                       ;BMGBM               ;79970.40-8;BMG M;61.186.680/0001-74;
BANCO BMG SOLUCOES FINANCEIRAS S.A.                                                                 ;CIFRABM             ;71330.40-0;GECAM;62.421.979/0001-29;
BANCO BNP PARIBAS BRASIL S/A                                                                        ;BNPPARIBASBM        ;77520.40-3;BNPBM;01.522.368/0001-82;
BANCO BRADESCARD S.A.                                                                               ;BRADESCARDBM        ;78230.40-0;IBIBM;04.184.779/0001-01;
BANCO BRADESCO BBI S/A                                                                              ;BRADESCOBBIBM       ;70360.40-2;MARAM;06.271.464/0001-19;
BANCO BRADESCO BERJ S/A                                                                             ;BRADBERJBM          ;70710.40-9;MAISM;33.147.315/0001-15;
BANCO BRADESCO FINANCIAMENTOS S/A                                                                   ;BRADESCOFINANCBM    ;73940.40-3;BMC M;07.207.996/0001-50;
BANCO BRADESCO FINANCIAMENTOS S/A                                                                   ;BRADESCOFINANCBM    ;71750.40-6;CONTM;07.207.996/0001-50;
BANCO BRADESCO S/A                                                                                  ;BRADESCOBM          ;70990.40-1;HSBCM;60.746.948/0001-12;
BANCO BRADESCO S/A                                                                                  ;BRADESCOBM          ;72370.40-7;BRADM;60.746.948/0001-12;
BANCO BS2 S.A.                                                                                      ;BS2BM               ;72180.40-8;BBS M;71.027.866/0001-34;
BANCO BTG PACTUAL S.A.                                                                              ;BTGPACTUALBM        ;72080.40-5;PACTM;30.306.294/0001-45;
BANCO B3 S.A.                                                                                       ;BCOB3BC             ;26760.40-3;BMFBC;00.997.185/0001-50;
BANCO CAIXA GERAL BRASIL S/A                                                                        ;CAIXAGERALBM        ;04730.40-0;BRORC;33.466.988/0001-38;
BANCO CARGILL S/A                                                                                   ;CARGILLBM           ;74580.40-8;CARGM;03.609.817/0001-50;
BANCO CATERPILLAR S/A                                                                               ;CATERPILLARBM       ;29407.40-2;CATEL;02.658.435/0001-53;
BANCO CEDULA S/A                                                                                    ;CEDULABM            ;72660.40-9;CEDUM;33.132.044/0001-24;
BANCO CITIBANK S/A                                                                                  ;CITIBM              ;77450.40-1;CITIM;33.479.023/0001-80;
BANCO CLASSICO S/A                                                                                  ;CLASSICOBM          ;72410.40-8;CLASM;31.597.552/0001-52;
BANCO CNH INDUSTRIAL CAPITAL S/A                                                                    ;CNHCAPITALBM        ;71250.40-1;CNH M;02.992.446/0001-75;
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB                                                        ;COOPERATIVOBRBM     ;07560.40-2;BCOOC;02.038.232/0001-64;
BANCO COOPERATIVO SICREDI S/A                                                                       ;SICREDIBM           ;77480.40-2;SICRM;01.181.521/0001-55;
